run_accession	experiment_accession	scientific_name	instrument_model	library_name	fastq_ftp	sample_alias	sample_accession
ERR13615569	ERX12986520	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/069/ERR13615569/ERR13615569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/069/ERR13615569/ERR13615569_2.fastq.gz	18049	SAMEA115717656
ERR13615573	ERX12986524	Vulpes lagopus	Illumina MiSeq		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/073/ERR13615573/ERR13615573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/073/ERR13615573/ERR13615573_2.fastq.gz	15075	SAMEA115717654
ERR13615578	ERX12986529	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/078/ERR13615578/ERR13615578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/078/ERR13615578/ERR13615578_2.fastq.gz	15004	SAMEA115717653
ERR13615581	ERX12986532	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/081/ERR13615581/ERR13615581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/081/ERR13615581/ERR13615581_2.fastq.gz	14039	SAMEA115717652
ERR13615583	ERX12986534	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/083/ERR13615583/ERR13615583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/083/ERR13615583/ERR13615583_2.fastq.gz	14005	SAMEA115717651
ERR13615567	ERX12986518	Vulpes lagopus	Illumina MiSeq		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/067/ERR13615567/ERR13615567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/067/ERR13615567/ERR13615567_2.fastq.gz	18049	SAMEA115717656
ERR13615587	ERX12986538	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/087/ERR13615587/ERR13615587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/087/ERR13615587/ERR13615587_2.fastq.gz	05043	SAMEA115717650
ERR13615568	ERX12986519	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/068/ERR13615568/ERR13615568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/068/ERR13615568/ERR13615568_2.fastq.gz	18049	SAMEA115717656
ERR13615570	ERX12986521	Vulpes lagopus	Illumina MiSeq		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/070/ERR13615570/ERR13615570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/070/ERR13615570/ERR13615570_2.fastq.gz	18005	SAMEA115717655
ERR13615571	ERX12986522	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/071/ERR13615571/ERR13615571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/071/ERR13615571/ERR13615571_2.fastq.gz	18005	SAMEA115717655
