run_accession	sample_accession	tax_id	scientific_name	instrument_model	library_name	fastq_ftp	study_accession
SRR30752829	SAMN43533643	9627	Vulpes vulpes	Illumina NovaSeq 6000	RM_S13-1169_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/029/SRR30752829/SRR30752829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/029/SRR30752829/SRR30752829_2.fastq.gz	PRJNA1158265
SRR30752830	SAMN43533643	9627	Vulpes vulpes	Illumina NovaSeq 6000	RM_S13-1169_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/030/SRR30752830/SRR30752830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/030/SRR30752830/SRR30752830_2.fastq.gz	PRJNA1158265
SRR30752831	SAMN43533627	9627	Vulpes vulpes	Illumina NovaSeq 6000	ECAN_S14-0430_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/031/SRR30752831/SRR30752831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/031/SRR30752831/SRR30752831_2.fastq.gz	PRJNA1158265
SRR30752836	SAMN43533640	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2071_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/036/SRR30752836/SRR30752836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/036/SRR30752836/SRR30752836_2.fastq.gz	PRJNA1158265
SRR30752837	SAMN43533627	9627	Vulpes vulpes	Illumina NovaSeq 6000	ECAN_S14-0430_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/037/SRR30752837/SRR30752837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/037/SRR30752837/SRR30752837_2.fastq.gz	PRJNA1158265
SRR30752840	SAMN43533635	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S17-2544_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/040/SRR30752840/SRR30752840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/040/SRR30752840/SRR30752840_2.fastq.gz	PRJNA1158265
SRR30752841	SAMN43533634	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S17-2543_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/041/SRR30752841/SRR30752841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/041/SRR30752841/SRR30752841_2.fastq.gz	PRJNA1158265
SRR30752845	SAMN43533629	9627	Vulpes vulpes	Illumina NovaSeq 6000	LAS_F02_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/045/SRR30752845/SRR30752845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/045/SRR30752845/SRR30752845_2.fastq.gz	PRJNA1158265
SRR30752846	SAMN43533628	9627	Vulpes vulpes	Illumina NovaSeq 6000	LAS_F01_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/046/SRR30752846/SRR30752846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/046/SRR30752846/SRR30752846_2.fastq.gz	PRJNA1158265
SRR30752848	SAMN43533626	9627	Vulpes vulpes	Illumina NovaSeq 6000	ECAN_S14-0407_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/048/SRR30752848/SRR30752848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/048/SRR30752848/SRR30752848_2.fastq.gz	PRJNA1158265
