run_accession	experiment_accession	submission_accession	scientific_name	instrument_model	library_name	study_title	study_alias	fastq_ftp	sample_alias	sample_accession
SRR24040929	SRX19843024	SRA1614351	Vulpes pallida	Illumina NovaSeq 6000	1001	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/029/SRR24040929/SRR24040929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/029/SRR24040929/SRR24040929_2.fastq.gz	1001	SAMN34035551
SRR24040930	SRX19843023	SRA1614351	Vulpes zerda	Illumina NovaSeq 6000	VZ07	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/030/SRR24040930/SRR24040930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/030/SRR24040930/SRR24040930_2.fastq.gz	VZ07	SAMN34035626
SRR24040938	SRX19843015	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV10	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/038/SRR24040938/SRR24040938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/038/SRR24040938/SRR24040938_2.fastq.gz	VV10	SAMN34035619
SRR24040940	SRX19843013	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV05	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/040/SRR24040940/SRR24040940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/040/SRR24040940/SRR24040940_2.fastq.gz	VV05	SAMN34035617
SRR24040942	SRX19843011	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV03	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/042/SRR24040942/SRR24040942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/042/SRR24040942/SRR24040942_2.fastq.gz	VV03	SAMN34035615
SRR24040943	SRX19843010	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	VV02	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/043/SRR24040943/SRR24040943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/043/SRR24040943/SRR24040943_2.fastq.gz	VV02	SAMN34035614
SRR24040950	SRX19843003	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR10	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/050/SRR24040950/SRR24040950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/050/SRR24040950/SRR24040950_2.fastq.gz	VR10	SAMN34035608
SRR24040953	SRX19843000	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR07	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/053/SRR24040953/SRR24040953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/053/SRR24040953/SRR24040953_2.fastq.gz	VR07	SAMN34035605
SRR24040955	SRX19842998	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR05	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/055/SRR24040955/SRR24040955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/055/SRR24040955/SRR24040955_2.fastq.gz	VR05	SAMN34035603
SRR24040957	SRX19842996	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	785	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/057/SRR24040957/SRR24040957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/057/SRR24040957/SRR24040957_2.fastq.gz	785	SAMN34035548
SRR24040958	SRX19842995	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR03	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/058/SRR24040958/SRR24040958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/058/SRR24040958/SRR24040958_2.fastq.gz	VR03	SAMN34035601
SRR24040960	SRX19842993	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	VR01	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/060/SRR24040960/SRR24040960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/060/SRR24040960/SRR24040960_2.fastq.gz	VR01	SAMN34035599
SRR24040961	SRX19842992	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	13451	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/061/SRR24040961/SRR24040961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/061/SRR24040961/SRR24040961_2.fastq.gz	13451	SAMN34035598
SRR24040964	SRX19842989	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	11470	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/064/SRR24040964/SRR24040964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/064/SRR24040964/SRR24040964_2.fastq.gz	11470	SAMN34035595
