file	ID	SM	LB	PL
LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s1	227WHLLT4.8.LIS448	LIS448	LIS_448_Sh	ILLUMINA
LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s2	227WHLLT4.8.LIS448	LIS448	LIS_448_Sh	ILLUMINA
LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s3	227WHLLT4.8.LIS448	LIS448	LIS_448_Sh	ILLUMINA
LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s4	227WHLLT4.8.LIS448	LIS448	LIS_448_Sh	ILLUMINA
LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s5	227WHLLT4.8.LIS448	LIS448	LIS_448_Sh	ILLUMINA
LIS453/LIS453_EKDN240031762-1A_227WHLLT4_L4	227WHLLT4.4.LIS453	LIS453	LIS_453_Sh	ILLUMINA
LIS453/LIS453_EKDN240031762-1A_227WHLLT4_L5	227WHLLT4.5.LIS453	LIS453	LIS_453_Sh	ILLUMINA
LIS629/LIS629_EKDN240031763-1A_227WHLLT4_L2	227WHLLT4.2.LIS629	LIS629	LIS_629_Sh	ILLUMINA
LIS629/LIS629_EKDN240031763-1A_227WHLLT4_L3	227WHLLT4.3.LIS629	LIS629	LIS_629_Sh	ILLUMINA
LIS665/LIS665_EKDN240031764-1A_227WHLLT4_L2	227WHLLT4.2.LIS665	LIS665	LIS_665_Sh	ILLUMINA
LIS665/LIS665_EKDN240031764-1A_227WHLLT4_L3	227WHLLT4.3.LIS665	LIS665	LIS_665_Sh	ILLUMINA
LIS718/LIS718_EKDN240031765-1A_227YTJLT4_L1_s1	227YTJLT4.1.LIS718	LIS718	LIS_718_Sh	ILLUMINA
LIS718/LIS718_EKDN240031765-1A_227YTJLT4_L1_s2	227YTJLT4.1.LIS718	LIS718	LIS_718_Sh	ILLUMINA
LIS718/LIS718_EKDN240031765-1A_227YTJLT4_L1_s3	227YTJLT4.1.LIS718	LIS718	LIS_718_Sh	ILLUMINA
LIS718/LIS718_EKDN240031765-1A_227YTJLT4_L1_s4	227YTJLT4.1.LIS718	LIS718	LIS_718_Sh	ILLUMINA
LIS718/LIS718_EKDN240031765-1A_227YTJLT4_L1_s5	227YTJLT4.1.LIS718	LIS718	LIS_718_Sh	ILLUMINA
LIS1022/LIS1022_EKDN240031766-1A_227WHLLT4_L2	227WHLLT4.2.LIS1022	LIS1022	LIS_1022_Sh	ILLUMINA
LIS1022/LIS1022_EKDN240031766-1A_227WHLLT4_L3	227WHLLT4.3.LIS1022	LIS1022	LIS_1022_Sh	ILLUMINA
LIS1242/LIS1242_EKDN240031767-1A_227WHLLT4_L2	227WHLLT4.2.LIS1242	LIS1242	LIS_1242_Sh1	ILLUMINA
LIS1242/LIS1242_EKDN240031767-1A_227WHLLT4_L3	227WHLLT4.3.LIS1242	LIS1242	LIS_1242_Sh1	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22C3YWLT4_L6_s1	22C3YWLT4.6.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22C3YWLT4_L6_s2	22C3YWLT4.6.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22C3YWLT4_L6_s3	22C3YWLT4.6.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22C3YWLT4_L6_s4	22C3YWLT4.6.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22C3YWLT4_L6_s5	22C3YWLT4.6.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22C3YWLT4_L6_s6	22C3YWLT4.6.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22C3YWLT4_L6_s7	22C3YWLT4.6.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1300/LIS1300_EKDN240031768-1A_22MCHHLT3_L3	22MCHHLT3.3.LIS1300	LIS1300	LIS_1300_Q	ILLUMINA
LIS1602/LIS1602_EKDN240031769-1A_227WHLLT4_L2	227WHLLT4.2.LIS1602	LIS1602	LIS_1602_Sh	ILLUMINA
LIS1602/LIS1602_EKDN240031769-1A_227WHLLT4_L3	227WHLLT4.3.LIS1602	LIS1602	LIS_1602_Sh	ILLUMINA
LIS1598/LIS1598_EKDN240031770-1A_227WHLLT4_L2	227WHLLT4.2.LIS1598	LIS1598	LIS_1598_Sh	ILLUMINA
LIS1598/LIS1598_EKDN240031770-1A_227WHLLT4_L3	227WHLLT4.3.LIS1598	LIS1598	LIS_1598_Sh	ILLUMINA
LIS557/LIS557_EKDN240031771-1A_22MCJWLT3_L7	22MCJWLT3.7.LIS557	LIS557	LIS_557_Sh	ILLUMINA
LIS557/LIS557_EKDN240031771-1A_22MGF2LT3_L2	22MGF2LT3.2.LIS557	LIS557	LIS_557_Sh	ILLUMINA
LIS557/LIS557_EKDN240031771-1A_22MGF2LT3_L3	22MGF2LT3.3.LIS557	LIS557	LIS_557_Sh	ILLUMINA
LIS557/LIS557_EKDN240031771-1A_22MGF2LT3_L4	22MGF2LT3.4.LIS557	LIS557	LIS_557_Sh	ILLUMINA
LIS904/LIS904_EKDN240031772-1A_227WHLLT4_L2	227WHLLT4.2.LIS904	LIS904	LIS_904_Sh	ILLUMINA
LIS904/LIS904_EKDN240031772-1A_227WHLLT4_L3	227WHLLT4.3.LIS904	LIS904	LIS_904_Sh	ILLUMINA
LIS935/LIS935_EKDN240031773-1A_227WHLLT4_L2	227WHLLT4.2.LIS935	LIS935	LIS_935_Sh	ILLUMINA
LIS935/LIS935_EKDN240031773-1A_227WHLLT4_L3	227WHLLT4.3.LIS935	LIS935	LIS_935_Sh	ILLUMINA
LIS801/LIS801_EKDN240031774-1A_227WHLLT4_L8_s1	227WHLLT4.8.LIS801	LIS801	LIS_801_Sh	ILLUMINA
LIS801/LIS801_EKDN240031774-1A_227WHLLT4_L8_s2	227WHLLT4.8.LIS801	LIS801	LIS_801_Sh	ILLUMINA
LIS801/LIS801_EKDN240031774-1A_227WHLLT4_L8_s3	227WHLLT4.8.LIS801	LIS801	LIS_801_Sh	ILLUMINA
LIS801/LIS801_EKDN240031774-1A_227WHLLT4_L8_s4	227WHLLT4.8.LIS801	LIS801	LIS_801_Sh	ILLUMINA
LIS801/LIS801_EKDN240031774-1A_227WHLLT4_L8_s5	227WHLLT4.8.LIS801	LIS801	LIS_801_Sh	ILLUMINA
LIS802/LIS802_EKDN240032752-1A_227WHLLT4_L7	227WHLLT4.7.LIS802	LIS802	LIS_802_Sh	ILLUMINA
LIS802/LIS802_EKDN240032752-1A_227WHLLT4_L8	227WHLLT4.8.LIS802	LIS802	LIS_802_Sh	ILLUMINA
S212969/S212969_EKDN240031775-1A_227WHLLT4_L4	227WHLLT4.4.S212969	S212969	S21_2969	ILLUMINA
S212969/S212969_EKDN240031775-1A_227WHLLT4_L5	227WHLLT4.5.S212969	S212969	S21_2969	ILLUMINA
F12232/F12232_EKDN240031776-1A_227WHLLT4_L4	227WHLLT4.4.F12232	F12232	F12_232	ILLUMINA
F12232/F12232_EKDN240031776-1A_227WHLLT4_L5	227WHLLT4.5.F12232	F12232	F12_232	ILLUMINA
S121604/S121604_EKDN240031777-1A_227YTJLT4_L1	227YTJLT4.1.S121604	S121604	S12_1604	ILLUMINA
S121604/S121604_EKDN240031777-1A_22C52TLT4_L8	22C52TLT4.8.S121604	S121604	S12_1604	ILLUMINA
S121604/S121604_EKDN240031777-1A_22MG2HLT3_L4	22MG2HLT3.4.S121604	S121604	S12_1604	ILLUMINA
S170478/S170478_EKDN240031778-1A_227WHLLT4_L7	227WHLLT4.7.S170478	S170478	S17_0478	ILLUMINA
S170478/S170478_EKDN240031778-1A_227WHLLT4_L8	227WHLLT4.8.S170478	S170478	S17_0478	ILLUMINA
S142040/S142040_EKDN240031779-1A_227VYCLT4_L5	227VYCLT4.5.S142040	S142040	S14_2040	ILLUMINA
S142040/S142040_EKDN240031779-1A_227VYCLT4_L6	227VYCLT4.6.S142040	S142040	S14_2040	ILLUMINA
S142040/S142040_EKDN240031779-1A_227VYCLT4_L8	227VYCLT4.8.S142040	S142040	S14_2040	ILLUMINA
S142040/S142040_EKDN240031779-1A_22C52TLT4_L2	22C52TLT4.2.S142040	S142040	S14_2040	ILLUMINA
S140424/S140424_EKDN240031780-1A_227WHLLT4_L7	227WHLLT4.7.S140424	S140424	S14_0424	ILLUMINA
S140424/S140424_EKDN240031780-1A_227WHLLT4_L8	227WHLLT4.8.S140424	S140424	S14_0424	ILLUMINA
S080738/S080738_EKDN240031781-1A_22C3N5LT4_L7	22C3N5LT4.7.S080738	S080738	S08_0738	ILLUMINA
S080738/S080738_EKDN240031781-1A_22MGFYLT3_L2	22MGFYLT3.2.S080738	S080738	S08_0738	ILLUMINA
S120237/S120237_EKDN240031782-1A_22C3KFLT4_L4	22C3KFLT4.4.S120237	S120237	S12_0237	ILLUMINA
S120237/S120237_EKDN240031782-1A_22C3YWLT4_L7	22C3YWLT4.7.S120237	S120237	S12_0237	ILLUMINA
S120237/S120237_EKDN240031782-1A_22MCHHLT3_L3	22MCHHLT3.3.S120237	S120237	S12_0237	ILLUMINA
S120237/S120237_EKDN240031782-1A_22MCJWLT3_L5	22MCJWLT3.5.S120237	S120237	S12_0237	ILLUMINA
S100038/S100038_EKDN240031784-1A_227YTJLT4_L5	227YTJLT4.5.S100038	S100038	S10_0038	ILLUMINA
S100038/S100038_EKDN240031784-1A_227YTJLT4_L6	227YTJLT4.6.S100038	S100038	S10_0038	ILLUMINA
S100038/S100038_EKDN240031784-1A_22C52NLT4_L7	22C52NLT4.7.S100038	S100038	S10_0038	ILLUMINA
S100038/S100038_EKDN240031784-1A_22MG2HLT3_L3	22MG2HLT3.3.S100038	S100038	S10_0038	ILLUMINA
X8836/X8836_EKDN240031785-1A_22C3YWLT4_L7	22C3YWLT4.7.X8836	X8836	x8836	ILLUMINA
X8836/X8836_EKDN240031785-1A_22MCHHLT3_L3	22MCHHLT3.3.X8836	X8836	x8836	ILLUMINA
X8836/X8836_EKDN240031785-1A_22MGF2LT3_L5	22MGF2LT3.5.X8836	X8836	x8836	ILLUMINA
X6820/X6820_EKDN240031787-1A_227WHLLT4_L6	227WHLLT4.6.X6820	X6820	x6820	ILLUMINA
X6820/X6820_EKDN240031787-1A_227WHLLT4_L8	227WHLLT4.8.X6820	X6820	x6820	ILLUMINA
X11469/X11469_EKDN240031789-1A_227WHLLT4_L7	227WHLLT4.7.X11469	X11469	x11469	ILLUMINA
X11469/X11469_EKDN240031789-1A_227WHLLT4_L8	227WHLLT4.8.X11469	X11469	x11469	ILLUMINA
X8833/X8833_EKDN240032749-1A_227WHLLT4_L2	227WHLLT4.2.X8833	X8833	x8833	ILLUMINA
X8833/X8833_EKDN240032749-1A_227WHLLT4_L3	227WHLLT4.3.X8833	X8833	x8833	ILLUMINA
S212760/S212760_EKDN240032750-1A_227WHLLT4_L6	227WHLLT4.6.S212760	S212760	S21_2760	ILLUMINA
S212760/S212760_EKDN240032750-1A_227WHLLT4_L8	227WHLLT4.8.S212760	S212760	S21_2760	ILLUMINA
YPI1082/YPI1082	H7NHKDSXC.4.YPI1082	YPI1082	YPI1082	ILLUMINA
YP297/YP297_s1	H7NHKDSXC.4.YP297	YP297	YP-297	ILLUMINA
YP297/YP297_s2	H7NHKDSXC.4.YP297	YP297	YP-297	ILLUMINA
YP297/YP297_s3	H7NHKDSXC.4.YP297	YP297	YP-297	ILLUMINA
YP297/YP297_s4	H7NHKDSXC.4.YP297	YP297	YP-297	ILLUMINA
