Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
LIS448	LIS_448_Sh	8	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s1_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s1_2.fq.gz	NA
LIS448	LIS_448_Sh	8	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s2_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s2_2.fq.gz	NA
LIS448	LIS_448_Sh	8	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s3_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s3_2.fq.gz	NA
LIS448	LIS_448_Sh	8	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s4_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s4_2.fq.gz	NA
LIS448	LIS_448_Sh	8	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s5_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS448/LIS448_EKDN240031761-1A_227WHLLT4_L8_s5_2.fq.gz	NA
LIS453	LIS_453_Sh	4	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS453/LIS453_EKDN240031762-1A_227WHLLT4_L4_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS453/LIS453_EKDN240031762-1A_227WHLLT4_L4_2.fq.gz	NA
LIS453	LIS_453_Sh	5	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS453/LIS453_EKDN240031762-1A_227WHLLT4_L5_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS453/LIS453_EKDN240031762-1A_227WHLLT4_L5_2.fq.gz	NA
LIS629	LIS_629_Sh	2	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS629/LIS629_EKDN240031763-1A_227WHLLT4_L2_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS629/LIS629_EKDN240031763-1A_227WHLLT4_L2_2.fq.gz	NA
LIS629	LIS_629_Sh	3	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS629/LIS629_EKDN240031763-1A_227WHLLT4_L3_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS629/LIS629_EKDN240031763-1A_227WHLLT4_L3_2.fq.gz	NA
LIS665	LIS_665_Sh	2	2	PE	Fox	double	none	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS665/LIS665_EKDN240031764-1A_227WHLLT4_L2_1.fq.gz	/gpfs/home/xrq24scu/bergstromlab/foxseq2024/LIS665/LIS665_EKDN240031764-1A_227WHLLT4_L2_2.fq.gz	NA
